"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
22JUN2011,123,2,22JUN2011,,.
24JUN2011,124,2,24JUN2011,06FEB2014,10
24JUN2011,125,2,24JUN2011,,.
27JUN2011,126,2,27JUN2011,06NOV2017,30
02JUL2011,127,2,02JUL2011,01JUL2015,04
03JUL2011,128,2,03JUL2011,16APR2015,24
06JUL2011,129,2,06JUL2011,26OCT2015,24
14JUL2011,130,2,14JUL2011,,.
14JUL2011,131,2,14JUL2011,12AUG2016,19
15JUL2011,132,2,15JUL2011,,.
16JUL2011,133,2,16JUL2011,,.
02DEC2010,134,3,01AUG2011,04JUL2016,10
31JUL2011,135,3,31JUL2011,09NOV2011,21
21JUL2011,136,2,21JUL2011,06MAR2016,29
23JUL2011,137,2,23JUL2011,12MAR2018,11
23JUL2011,138,2,23JUL2011,20MAY2014,02
24JUL2011,139,2,24JUL2011,30AUG2014,14
02AUG2011,140,2,02AUG2011,01DEC2014,14
17AUG2011,141,3,17AUG2011,09MAR2015,10
22AUG2011,142,3,22AUG2011,29JUL2015,25
28AUG2011,143,2,28AUG2011,04APR2016,12
18SEP2011,144,2,18SEP2011,10JAN2016,24
20SEP2011,145,3,20SEP2011,20JAN2014,24
20SEP2011,146,3,20SEP2011,,.
29SEP2011,147,3,29SEP2011,07AUG2017,27
18SEP2011,148,3,18SEP2011,10JAN2015,23
24SEP2011,149,2,24SEP2011,01MAY2014,12
11OCT2011,150,2,11OCT2011,,.
18OCT2011,151,2,18OCT2011,11NOV2016,14
20OCT2011,152,3,28OCT2011,,.
27OCT2011,153,3,27OCT2011,04MAY2016,24
23OCT2011,154,3,23OCT2011,14DEC2016,24
28OCT2011,155,3,28OCT2011,15FEB2017,10
31OCT2011,156,3,31OCT2011,26AUG2015,25
20OCT2011,157,2,20OCT2011,,.
24OCT2011,158,2,24OCT2011,10JAN2012,11
25OCT2011,159,2,25OCT2011,25APR2015,26
07NOV2011,160,2,07NOV2011,20NOV2014,10
11NOV2011,161,3,11NOV2011,05MAY2015,14
17NOV2011,162,3,17NOV2011,12NOV2014,24
