"CowId","herd","LACT_NO","END_DATE","START_DATE","DAY_305_MILK","LACT_DATE_YLD_MILK","DAY_305_FAT","LACT_DATE_YLD_FAT","DAY_305_PROT","LACT_DATE_YLD_PROT","CUMUL_MILK_VALUE","CUMUL_FEED_COST"
37,2,2,20SEP2015,12SEP2014,8888,10265.16,379,439.97,303,352.10,8056,2509
37,2,3,23FEB2017,09NOV2015,9666,12183.99,394,506.72,298,394.73,8764,
38,3,1,26APR2014,10MAY2013,8037,8908.08,292,332.19,250,284.86,6323,2268
38,3,2,25JUN2015,26JUN2014,10637,11440.86,378,413.96,329,362.05,7977,2502
38,3,3,01OCT2015,22AUG2015,,,,,,,0,295
39,3,1,20JUN2014,08AUG2013,7096,7308.94,305,315.23,248,256.19,5977,2210
39,3,2,10SEP2015,22AUG2014,9085,10775.58,391,475.42,300,365.59,8419,
40,3,1,01NOV2014,06FEB2013,7726,13689.32,269,518.22,245,458.01,10035,
40,3,3,16JAN2017,05FEB2016,10084,10741.71,347,378.95,311,337.53,7018,2310
41,3,1,19MAY2014,30MAR2013,8967,11506.34,319,422.21,287,372.67,7623,2677
41,3,2,11OCT2015,27JUN2014,10449,14621.60,302,469.98,335,478.05,9671,2816
41,3,3,08FEB2016,12OCT2015,,2555.18,,103.54,,93.29,1951,790
42,3,1,20MAR2014,19MAY2013,7958,7958.09,269,268.52,257,257.38,5821,2127
42,3,2,25MAR2015,20APR2014,8902,9395.06,293,310.65,277,294.79,6414,2337
42,3,3,15JUL2016,07JUL2015,7918,8802.73,245,279.92,247,279.60,5330,2299
44,2,1,05OCT2013,27NOV2012,5840,5975.75,248,254.51,194,198.68,4614,
44,2,2,15OCT2014,10JAN2014,8215,8214.56,339,339.15,277,277.08,6363,
45,2,1,01MAY2014,12JAN2013,6625,9512.71,249,382.77,212,322.12,7136,3388
45,2,2,19MAR2016,02OCT2014,9327,15036.42,368,624.31,307,533.52,11438,3440
46,2,1,28MAY2013,25FEB2013,,2320.72,,86.10,,66.01,1382,598
47,2,2,01DEC2014,17FEB2014,9955,9954.66,366,365.66,315,315.38,6936,
47,2,2,05FEB2015,17FEB2014,10231,11201.16,378,419.96,323,358.79,8473,2380
47,2,3,14JAN2016,15APR2015,7317,7316.73,284,283.60,221,221.48,4797,1931
47,2,4,13APR2017,29MAR2016,9926,11532.06,390,462.83,306,359.37,7864,
48,3,1,20MAY2014,27JUL2013,7874,7873.83,341,341.10,271,270.83,6351,2105
48,3,2,29MAY2015,23JUN2014,10847,11590.12,419,454.90,361,390.49,8696,2560
48,3,3,19MAY2016,02JUL2015,10225,10470.82,404,417.58,344,354.80,7324,2370
48,3,4,15JUN2017,24JUN2016,10715,11486.85,442,479.23,355,387.68,7809,3049
49,2,1,07MAR2014,10APR2013,6064,6500.44,271,294.45,197,214.28,5182,2551
49,2,2,16AUG2015,15SEP2014,7560,8140.34,324,353.21,247,268.29,6257,2315
49,2,3,29MAR2017,28OCT2015,8899,12532.34,374,549.86,267,412.82,9434,
52,3,1,05JUN2014,06AUG2013,8254,8253.55,336,336.10,258,258.43,6179,2317
52,3,2,07AUG2014,21JUL2014,,,,,,,,144
53,3,1,14JUN2014,20AUG2013,6252,6252.08,332,331.58,230,229.86,5902,2295
53,3,2,27JUN2015,22AUG2014,7837,7876.50,360,362.64,276,277.97,6451,2196
53,3,3,16MAY2017,18SEP2015,8430,15684.11,415,782.94,289,569.67,12881,4090
55,3,1,09APR2014,15JUN2013,7021,7021.39,295,294.63,238,237.76,5517,2005
55,3,2,12JAN2015,04JUN2014,,8143.48,,324.82,,262.61,6191,1647
56,3,1,15APR2014,08APR2013,7968,9373.87,329,396.41,263,316.90,7347,2298
56,3,2,09APR2015,18APR2014,6922,7760.57,271,312.44,247,281.00,5965,2162
56,3,3,06OCT2016,02AUG2015,8973,11860.21,387,519.91,303,411.00,9147,2756
56,3,4,01SEP2017,17NOV2016,8903,8902.87,375,374.58,297,296.92,6523,2530
56,3,5,27DEC2017,19OCT2017,,1511.50,,61.53,,54.43,1127,575
57,3,1,01AUG2014,26SEP2013,8793,8890.54,338,342.28,272,274.71,6524,2232
57,3,2,04MAY2015,19SEP2014,,7901.21,,248.07,,234.47,4932,1524
58,2,1,19MAY2014,18JUL2013,5846,5846.36,179,179.37,182,182.08,3920,1968
59,2,1,12FEB2014,08MAR2013,6154,6680.87,258,284.12,196,216.70,4929,2369
59,2,2,23APR2015,03MAY2014,9725,10834.15,363,411.99,296,334.97,7785,2599
59,2,3,01OCT2016,13SEP2015,9982,11893.40,359,443.46,285,350.05,7744,
60,2,1,31MAR2014,20MAR2013,8061,9288.71,250,294.80,233,275.92,5646,2607
60,2,2,10JUL2015,25JUN2014,9936,11253.01,254,301.36,296,344.94,6553,2662
60,2,3,02JAN2017,17OCT2015,11065,13457.93,300,373.23,313,394.59,7308,
60,2,4,23MAR2017,20MAR2017,,,,,,,,
62,3,1,09APR2013,21MAR2013,,,,,,,,145
64,3,1,30MAR2014,05APR2013,8487,9708.25,352,408.92,276,319.78,7469,2423
64,3,2,10AUG2015,16MAY2014,9072,11257.92,369,464.87,280,358.77,8347,2614
65,3,1,01AUG2014,26OCT2013,6543,6542.57,252,251.88,219,219.10,4981,1938
65,3,2,25AUG2015,06OCT2014,9166,9374.46,344,354.83,306,315.20,6779,2107
65,3,3,02AUG2016,14OCT2015,7175,7174.51,336,336.40,242,241.74,5939,1988
65,3,4,07AUG2017,05SEP2016,9161,9538.47,372,388.60,322,341.25,6954,2768
66,2,1,15JAN2014,21MAR2013,6364,6363.91,270,270.29,199,199.19,4822,2108
66,2,2,16FEB2015,06APR2014,7913,8105.77,301,310.16,244,250.45,5936,2186
66,2,3,03AUG2015,27APR2015,,2889.24,,97.47,,87.71,1414,636
68,2,1,15JAN2014,16MAR2013,8076,8076.33,310,310.40,248,248.08,5646,2113
68,2,2,18AUG2015,25MAR2014,8867,13021.31,350,532.78,274,426.69,9856,3432
68,2,3,01DEC2016,23OCT2015,10290,12382.15,416,508.04,303,379.66,8758,
69,2,1,07JUL2014,25APR2013,7150,9978.27,249,349.20,222,318.97,6973,3088
69,2,2,05NOV2015,07NOV2014,11281,12821.41,381,442.93,353,409.96,7807,
69,2,3,02FEB2016,06JAN2016,,830.53,,43.08,,25.15,688,180
70,2,1,22SEP2014,19SEP2013,7522,9071.48,276,338.96,234,288.84,6658,2513
70,2,2,20NOV2015,27NOV2014,9018,9996.33,346,390.88,281,317.94,7038,
70,2,3,13FEB2017,02JAN2016,9416,11044.92,389,442.00,285,345.21,7428,
71,2,1,28NOV2014,28NOV2013,7387,8612.81,269,328.53,239,288.91,6510,2430
71,2,2,06JUN2016,04JAN2015,9446,13812.22,362,557.03,320,491.10,10127,3344
72,3,1,31DEC2014,12NOV2013,9374,11613.99,404,506.32,301,383.58,9360,
72,3,2,02AUG2016,05MAR2015,9146,12705.71,416,593.79,296,424.41,9792,3315
73,3,1,20NOV2014,31OCT2013,7690,9311.73,325,397.18,254,314.83,7524,
73,3,2,02DEC2015,15JAN2015,8372,8537.04,327,335.24,280,288.46,6091,
73,3,3,28MAR2017,05JUN2016,9718,9718.38,365,365.01,319,318.78,6744,2461
74,3,1,03MAR2014,14OCT2013,,2470.97,,116.71,,82.00,2052,907
75,3,1,20JUN2014,20SEP2013,6866,6865.55,307,306.74,216,215.76,5486,2064
75,3,2,29DEC2014,01SEP2014,,4307.49,,206.49,,132.47,3567,1003
76,3,1,08SEP2014,05OCT2013,7120,7767.48,306,338.61,233,256.73,6301,2167
76,3,2,03JAN2016,31OCT2014,9234,11368.66,330,431.11,297,374.84,8041,2885
76,3,3,07DEC2016,06JUN2016,,4706.49,,207.23,,143.71,3521,1235
77,3,1,20JUL2015,08MAY2014,9981,13592.32,411,545.80,318,443.00,10229,2912
