"CowId","herd","OBSERVED_DATE","BODY_WGT"
279,3,13APR2016,702
285,3,13APR2016,628
296,3,13APR2016,748
296,3,09DEC2016,775
297,3,13APR2016,680
297,3,09DEC2016,860
298,3,13APR2016,690
298,3,09DEC2016,665
299,3,13APR2016,625
299,3,09DEC2016,770
306,3,09DEC2016,858
307,3,13APR2016,710
307,3,09DEC2016,735
316,3,13APR2016,660
316,3,09DEC2016,705
317,3,13APR2016,655
317,3,09DEC2016,650
319,3,13APR2016,675
322,3,13APR2016,655
322,3,09DEC2016,650
328,3,13APR2016,560
328,3,09DEC2016,590
331,3,13APR2016,780
331,3,09DEC2016,700
336,1,26NOV2015,570
336,1,24OCT2016,570
337,3,09DEC2016,670
338,3,13APR2016,630
338,3,09DEC2016,790
340,3,13APR2016,645
341,3,13APR2016,692
341,3,09DEC2016,820
343,3,13APR2016,635
345,3,09DEC2016,661
347,3,09DEC2016,660
348,3,13APR2016,635
348,3,09DEC2016,610
350,3,09DEC2016,724
357,3,09DEC2016,775
361,3,13APR2016,610
362,3,13APR2016,670
362,3,09DEC2016,650
366,3,13APR2016,670
368,1,24OCT2016,570
378,3,09DEC2016,682
379,3,13APR2016,570
379,3,09DEC2016,692
381,3,09DEC2016,705
383,3,09DEC2016,625
384,3,09DEC2016,640
391,3,09DEC2016,837
392,3,09DEC2016,605
397,3,09DEC2016,670
405,3,09DEC2016,640
409,3,09DEC2016,605
411,3,09DEC2016,723
412,3,09DEC2016,645
418,3,09DEC2016,680
425,3,09DEC2016,670
437,1,24OCT2016,570
487,3,09DEC2016,472
491,3,09DEC2016,491
499,3,09DEC2016,505
500,3,09DEC2016,453
502,3,09DEC2016,530
503,3,09DEC2016,505
506,3,09DEC2016,529
507,3,09DEC2016,489
508,3,09DEC2016,470
509,3,09DEC2016,550
510,3,09DEC2016,520
511,3,09DEC2016,450
516,3,09DEC2016,420
517,3,09DEC2016,415
518,3,09DEC2016,435
520,3,09DEC2016,440
521,3,09DEC2016,520
522,3,09DEC2016,470
523,3,09DEC2016,785
524,3,09DEC2016,410
525,3,09DEC2016,550
526,3,09DEC2016,440
527,3,09DEC2016,492
528,1,26JUL2016,265
529,3,09DEC2016,465
530,3,09DEC2016,460
532,3,09DEC2016,500
533,3,09DEC2016,425
534,3,09DEC2016,430
535,3,09DEC2016,370
536,3,09DEC2016,385
537,3,09DEC2016,460
547,3,09DEC2016,450
548,1,26JUL2016,200
566,3,09DEC2016,450
626,3,09DEC2016,390
627,3,09DEC2016,549
634,3,09DEC2016,510
635,1,21MAR2017,105
701,1,30OCT2017,60
701,1,27NOV2017,76
